Team;Type;Rank;Date;Round;Venue;Scorer;Opponent;Start;xG;PSxG;Body Part;Distance;Minute;Score;Goalkeeper;Assist;GCA1;Type GCA1;GCA2;Type GCA2;Note;Motion
Arsenal;Against;1;12/08/2023;Matchweek 1;Home;Taiwo Awoniyi;Nott'ham Forest;N;0.57;0.87;Right Foot;6;82;0-2;Aaron Ramsdale;Anthony Elanga;Anthony Elanga;Pass (Live);Taiwo Awoniyi;Pass (Live);;In Game
Arsenal;For;1;12/08/2023;Matchweek 1;Home;Eddie Nketiah;Nott'ham Forest;Y;0.11;0.02;Right Foot;14;26;0-0;Matt Turner;Martinelli;Martinelli;Take-On;Thomas Partey;Pass (Live);Deflected;In Game
Arsenal;For;2;12/08/2023;Matchweek 1;Home;Bukayo Saka;Nott'ham Forest;Y;0.04;0.60;Left Foot;23;32;1-0;Matt Turner;William Saliba;William Saliba;Pass (Live);Thomas Partey;Pass (Live);;In Game
Aston Villa;Against;1;12/08/2023;Matchweek 1;Away;Sandro Tonali;Newcastle Utd;Y;0.22;0.90;Right Foot;7;6;0-0;Emiliano Martínez;Anthony Gordon;Anthony Gordon;Pass (Live);Joelinton;Pass (Live);Volley;In Game
Aston Villa;Against;2;12/08/2023;Matchweek 1;Away;Alexander Isak;Newcastle Utd;Y;0.44;0.32;Right Foot;10;16;01-janv;Emiliano Martínez;Sven Botman;Sven Botman;Pass (Live);Sandro Tonali;Pass (Live);;In Game
Aston Villa;Against;3;12/08/2023;Matchweek 1;Away;Alexander Isak;Newcastle Utd;Y;0.08;0.54;Right Foot;10;58;02-janv;Emiliano Martínez;;Bruno Guimarães;Pass (Live);Bruno Guimarães;Take-On;;In Game
Aston Villa;Against;4;12/08/2023;Matchweek 1;Away;Callum Wilson;Newcastle Utd;N;0.47;0.78;Right Foot;10;77;03-janv;Emiliano Martínez;Harvey Barnes;Harvey Barnes;Pass (Live);Sandro Tonali;Pass (Live);;In Game
Aston Villa;Against;5;12/08/2023;Matchweek 1;Away;Harvey Barnes;Newcastle Utd;N;0.53;0.95;Right Foot;10;90+1;04-janv;Emiliano Martínez;Jacob Murphy;Jacob Murphy;Pass (Live);Jacob Murphy;Take-On;;In Game
Aston Villa;For;1;12/08/2023;Matchweek 1;Away;Moussa Diaby;Newcastle Utd;Y;0.13;0.13;Right Foot;14;11;0-1;Nick Pope;Ollie Watkins;Ollie Watkins;Pass (Live);Douglas Luiz;Pass (Live);Volley;In Game
Bournemouth;Against;1;12/08/2023;Matchweek 1;Home;Jarrod Bowen;West Ham;Y;0.04;0.51;Left Foot;27;51;0-0;Neto;Tomáš Souček;Tomáš Souček;Pass (Live);Pablo Fornals;Tackle;;In Game
Bournemouth;For;1;12/08/2023;Matchweek 1;Home;Dominic Solanke;West Ham;Y;0.87;0.97;Right Foot;4;82;0-1;Alphonse Areola;;Dominic Solanke;Take-On;Antoine Semenyo;Shot;;In Game
Brentford;Against;1;13/08/2023;Matchweek 1;Home;Cristian Romero;Tottenham;Y;0.58;0.62;Head;5;11;0-0;Mark Flekken;James Maddison;James Maddison;Pass (Dead);James Maddison;Fouled;;Set Piece
Brentford;Against;2;13/08/2023;Matchweek 1;Home;Emerson;Tottenham;Y;0.03;0.24;Right Foot;25;45+4;01-févr;Mark Flekken;James Maddison;James Maddison;Pass (Live);Destiny Udogie;Pass (Live);;In Game
Brentford;For;1;13/08/2023;Matchweek 1;Home;Bryan Mbeumo;Tottenham;Y;0.79;0.99;Left Foot;13;26;0-1;Guglielmo Vicario;;Mathias Jensen;Fouled;Bryan Mbeumo;Pass (Live);;Penalty Kick
Brentford;For;2;13/08/2023;Matchweek 1;Home;Yoane Wissa;Tottenham;Y;0.17;0.08;Left Foot;14;36;01-janv;Guglielmo Vicario;Rico Henry;Rico Henry;Pass (Live);Rico Henry;Take-On;Deflected;In Game
Brighton;Against;1;12/08/2023;Matchweek 1;Home;Carlton Morris;Luton Town;Y;0.79;0.99;Right Foot;13;81;0-2;Jason Steele;;;Fouled;Carlton Morris;Pass (Live);;Penalty Kick
Brighton;For;1;12/08/2023;Matchweek 1;Home;Solly March;Luton Town;Y;0.33;0.86;Head;7;36;0-0;Thomas Kaminski;Kaoru Mitoma;Kaoru Mitoma;Pass (Live);Mahmoud Dahoud;Pass (Live);;In Game
Brighton;For;2;12/08/2023;Matchweek 1;Home;João Pedro;Luton Town;Y;0.79;0.99;Right Foot;13;71;1-0;Thomas Kaminski;;João Pedro;Fouled;Kaoru Mitoma;Pass (Live);;Penalty Kick
Brighton;For;3;12/08/2023;Matchweek 1;Home;Simon Adingra;Luton Town;N;0.25;0.77;Right Foot;5;85;02-janv;Thomas Kaminski;;;;;;Volley;In Game
Brighton;For;4;12/08/2023;Matchweek 1;Home;Evan Ferguson;Luton Town;N;0.83;0.88;Right Foot;4;90+5;03-janv;Thomas Kaminski;Pervis Estupiñán;Pervis Estupiñán;Pass (Live);Lewis Dunk;Pass (Live);;In Game
Burnley;Against;1;11/08/2023;Matchweek 1;Home;Erling Haaland;Manchester City;Y;0.17;0.62;Left Foot;8;4;0-0;James Trafford;Rodri;Rodri;Pass (Live);Kevin De Bruyne;Pass (Live);Volley;In Game
Burnley;Against;2;11/08/2023;Matchweek 1;Home;Erling Haaland;Manchester City;Y;0.14;0.50;Left Foot;13;36;1-0;James Trafford;Julián Álvarez;Julián Álvarez;Pass (Live);Kyle Walker;Pass (Live);;In Game
Burnley;Against;3;11/08/2023;Matchweek 1;Home;Rodri;Manchester City;Y;0.42;0.93;Right Foot;5;75;2-0;James Trafford;;Nathan Aké;Shot;;;;In Game
Chelsea;Against;1;13/08/2023;Matchweek 1;Home;Luis Díaz;Liverpool;Y;0.51;0.80;Left Foot;11;18;0-0;Robert Sánchez;Mohamed Salah;Mohamed Salah;Pass (Live);Alexis Mac Allister;Pass (Live);;In Game
Chelsea;For;1;13/08/2023;Matchweek 1;Home;Axel Disasi;Liverpool;Y;0.41;0.86;Right Foot;6;37;0-1;Alisson;Ben Chilwell;Ben Chilwell;Pass (Live);Raheem Sterling;Pass (Live);;In Game
Crystal Palace;For;1;12/08/2023;Matchweek 1;Away;Odsonne Édouard;Sheffield Utd;Y;0.64;0.81;Left Foot;4;89;0-0;Wes Foderingham;Jordan Ayew;Jordan Ayew;Pass (Live);Jefferson Lerma;Pass (Live);Volley;In Game
Everton;Against;1;12/08/2023;Matchweek 1;Home;Bobby Reid;Fulham;N;0.72;0.98;Left Foot;3;73;0-0;Jordan Pickford;;Aleksandar Mitrović;Pass (Live);Harry Wilson;Pass (Live);;In Game
Fulham;For;1;12/08/2023;Matchweek 1;Away;Bobby Reid;Everton;N;0.72;0.98;Left Foot;3;73;0-0;Jordan Pickford;;Aleksandar Mitrović;Pass (Live);Harry Wilson;Pass (Live);;In Game
Liverpool;Against;1;13/08/2023;Matchweek 1;Away;Axel Disasi;Chelsea;Y;0.41;0.86;Right Foot;6;37;0-1;Alisson;Ben Chilwell;Ben Chilwell;Pass (Live);Raheem Sterling;Pass (Live);;In Game
Liverpool;For;1;13/08/2023;Matchweek 1;Away;Luis Díaz;Chelsea;Y;0.51;0.80;Left Foot;11;18;0-0;Robert Sánchez;Mohamed Salah;Mohamed Salah;Pass (Live);Alexis Mac Allister;Pass (Live);;In Game
Luton Town;For;1;12/08/2023;Matchweek 1;Away;Carlton Morris;Brighton;Y;0.79;0.99;Right Foot;13;81;0-2;Jason Steele;;;Fouled;Carlton Morris;Pass (Live);;Penalty Kick
Luton Town;Against;1;12/08/2023;Matchweek 1;Away;Solly March;Brighton;Y;0.33;0.86;Head;7;36;0-0;Thomas Kaminski;Kaoru Mitoma;Kaoru Mitoma;Pass (Live);Mahmoud Dahoud;Pass (Live);;In Game
Luton Town;Against;2;12/08/2023;Matchweek 1;Away;João Pedro;Brighton;Y;0.79;0.99;Right Foot;13;71;1-0;Thomas Kaminski;;João Pedro;Fouled;Kaoru Mitoma;Pass (Live);;Penalty Kick
Luton Town;Against;3;12/08/2023;Matchweek 1;Away;Simon Adingra;Brighton;N;0.25;0.77;Right Foot;5;85;02-janv;Thomas Kaminski;;;;;;Volley;In Game
Luton Town;Against;4;12/08/2023;Matchweek 1;Away;Evan Ferguson;Brighton;N;0.83;0.88;Right Foot;4;90+5;03-janv;Thomas Kaminski;Pervis Estupiñán;Pervis Estupiñán;Pass (Live);Lewis Dunk;Pass (Live);;In Game
Manchester City;For;1;11/08/2023;Matchweek 1;Away;Erling Haaland;Burnley;Y;0.17;0.62;Left Foot;8;4;0-0;James Trafford;Rodri;Rodri;Pass (Live);Kevin De Bruyne;Pass (Live);Volley;In Game
Manchester City;For;2;11/08/2023;Matchweek 1;Away;Erling Haaland;Burnley;Y;0.14;0.50;Left Foot;13;36;1-0;James Trafford;Julián Álvarez;Julián Álvarez;Pass (Live);Kyle Walker;Pass (Live);;In Game
Manchester City;For;3;11/08/2023;Matchweek 1;Away;Rodri;Burnley;Y;0.42;0.93;Right Foot;5;75;2-0;James Trafford;;Nathan Aké;Shot;;;;In Game
Manchester Utd;For;1;14/08/2023;Matchweek 1;Home;Raphaël Varane;Wolves;Y;0.83;0.74;Head;4;76;0-0;José Sá;Aaron Wan-Bissaka;Aaron Wan-Bissaka;Pass (Live);Bruno Fernandes;Pass (Live);;In Game
Newcastle Utd;Against;1;12/08/2023;Matchweek 1;Home;Moussa Diaby;Aston Villa;Y;0.13;0.13;Right Foot;14;11;0-1;Nick Pope;Ollie Watkins;Ollie Watkins;Pass (Live);Douglas Luiz;Pass (Live);Volley;In Game
Newcastle Utd;For;1;12/08/2023;Matchweek 1;Home;Sandro Tonali;Aston Villa;Y;0.22;0.90;Right Foot;7;6;0-0;Emiliano Martínez;Anthony Gordon;Anthony Gordon;Pass (Live);Joelinton;Pass (Live);Volley;In Game
Newcastle Utd;For;2;12/08/2023;Matchweek 1;Home;Alexander Isak;Aston Villa;Y;0.44;0.32;Right Foot;10;16;01-janv;Emiliano Martínez;Sven Botman;Sven Botman;Pass (Live);Sandro Tonali;Pass (Live);;In Game
Newcastle Utd;For;3;12/08/2023;Matchweek 1;Home;Alexander Isak;Aston Villa;Y;0.08;0.54;Right Foot;10;58;02-janv;Emiliano Martínez;;Bruno Guimarães;Pass (Live);Bruno Guimarães;Take-On;;In Game
Newcastle Utd;For;4;12/08/2023;Matchweek 1;Home;Callum Wilson;Aston Villa;N;0.47;0.78;Right Foot;10;77;03-janv;Emiliano Martínez;Harvey Barnes;Harvey Barnes;Pass (Live);Sandro Tonali;Pass (Live);;In Game
Newcastle Utd;For;5;12/08/2023;Matchweek 1;Home;Harvey Barnes;Aston Villa;N;0.53;0.95;Right Foot;10;90+1;04-janv;Emiliano Martínez;Jacob Murphy;Jacob Murphy;Pass (Live);Jacob Murphy;Take-On;;In Game
Nott'ham Forest;Against;1;12/08/2023;Matchweek 1;Away;Eddie Nketiah;Arsenal;Y;0.11;0.02;Right Foot;14;26;0-0;Matt Turner;Martinelli;Martinelli;Take-On;Thomas Partey;Pass (Live);Deflected;In Game
Nott'ham Forest;Against;2;12/08/2023;Matchweek 1;Away;Bukayo Saka;Arsenal;Y;0.04;0.60;Left Foot;23;32;1-0;Matt Turner;William Saliba;William Saliba;Pass (Live);Thomas Partey;Pass (Live);;In Game
Nott'ham Forest;For;1;12/08/2023;Matchweek 1;Away;Taiwo Awoniyi;Arsenal;N;0.57;0.87;Right Foot;6;82;0-2;Aaron Ramsdale;Anthony Elanga;Anthony Elanga;Pass (Live);Taiwo Awoniyi;Pass (Live);;In Game
Sheffield Utd;Against;1;12/08/2023;Matchweek 1;Home;Odsonne Édouard;Crystal Palace;Y;0.64;0.81;Left Foot;4;49;0-0;Wes Foderingham;Jordan Ayew;Jordan Ayew;Pass (Live);Jefferson Lerma;Pass (Live);Volley;In Game
Tottenham;For;1;13/08/2023;Matchweek 1;Away;Cristian Romero;Brentford;Y;0.58;0.62;Head;5;11;0-0;Mark Flekken;James Maddison;James Maddison;Pass (Dead);James Maddison;Fouled;;Set Piece
Tottenham;For;2;13/08/2023;Matchweek 1;Away;Emerson;Brentford;Y;0.03;0.24;Right Foot;25;45+4;01-févr;Mark Flekken;James Maddison;James Maddison;Pass (Live);Destiny Udogie;Pass (Live);;In Game
Tottenham;Against;1;13/08/2023;Matchweek 1;Away;Bryan Mbeumo;Brentford;Y;0.79;0.99;Left Foot;13;26;0-1;Guglielmo Vicario;;Mathias Jensen;Fouled;Bryan Mbeumo;Pass (Live);;Penalty Kick
Tottenham;Against;2;13/08/2023;Matchweek 1;Away;Yoane Wissa;Brentford;Y;0.17;0.08;Left Foot;14;36;01-janv;Guglielmo Vicario;Rico Henry;Rico Henry;Pass (Live);Rico Henry;Take-On;Deflected;In Game
West Ham;Against;1;12/08/2023;Matchweek 1;Away;Dominic Solanke;Bournemouth;Y;0.87;0.97;Right Foot;4;82;0-1;Alphonse Areola;;Dominic Solanke;Take-On;Antoine Semenyo;Shot;;In Game
West Ham;For;1;12/08/2023;Matchweek 1;Away;Jarrod Bowen;Bournemouth;Y;0.04;0.51;Left Foot;27;51;0-0;Neto;Tomáš Souček;Tomáš Souček;Pass (Live);Pablo Fornals;Tackle;;In Game
Wolves;Against;1;14/08/2023;Matchweek 1;Away;Raphaël Varane;Manchester Utd;Y;0.83;0.74;Head;4;76;0-0;José Sá;Aaron Wan-Bissaka;Aaron Wan-Bissaka;Pass (Live);Bruno Fernandes;Pass (Live);;In Game
Arsenal;For;19;28/10/2023;Matchweek 10;Home;Eddie Nketiah;Sheffield Utd;Y;0.75;0.96;Right Foot;9;28;0-0;Wes Foderingham;Declan Rice;Eddie Nketiah;Take-On;Bukayo Saka;Pass (Live);;In Game
Arsenal;For;20;28/10/2023;Matchweek 10;Home;Eddie Nketiah;Sheffield Utd;Y;0.12;0.75;Right Foot;6;50;1-0;Wes Foderingham;;Emile Smith Rowe;Pass (Dead);Eddie Nketiah;Fouled;Volley;Set Piece
Arsenal;For;21;28/10/2023;Matchweek 10;Home;Eddie Nketiah;Sheffield Utd;Y;0.04;0.34;Right Foot;26;58;2-0;Wes Foderingham;Emile Smith Rowe;Emile Smith Rowe;Pass (Live);Gabriel Martinelli;Pass (Live);;In Game
Arsenal;For;22;28/10/2023;Matchweek 10;Home;Fabio Vieira;Sheffield Utd;N;0.79;0.95;Left Foot;13;88;3-0;Wes Foderingham;;Fabio Vieira;Fouled;;;;Penalty Kick
Arsenal;For;23;28/10/2023;Matchweek 10;Home;Takehiro Tomiyasu;Sheffield Utd;N;0.17;0.60;Right Foot;8;90+6;4-0;Wes Foderingham;;Fabio Vieira;Pass (Dead);Eddie Nketiah;Shot;;Set Piece
Aston Villa;For;24;29/10/2023;Matchweek 10;Home;John McGinn;Luton Town;Y*;0.06;0.33;Right Foot;12;17;0-0;Thomas Kaminski;Douglas Luiz;John McGinn;Take-On;Douglas Luiz;Pass (Dead);;Set Piece
Aston Villa;For;25;29/10/2023;Matchweek 10;Home;Moussa Diaby;Luton Town;Y;0.28;0.66;Left Foot;11;49;1-0;Thomas Kaminski;Leon Bailey;Lucas Digne;Pass (Live);John McGinn;Pass (Live);;In Game
Aston Villa;For;26;29/10/2023;Matchweek 10;Home;Tom Lockyer (OG);Luton Town;Y*;;;;;62;2-0;Thomas Kaminski;;;;;;Own Goal;In Game
Aston Villa;Against;14;29/10/2023;Matchweek 10;Home;Emiliano Martínez (OG);Luton Town;Y;;;;;83;0-3;Emiliano Martínez;;;;;;Own Goal;In Game
Bournemouth;For;7;28/10/2023;Matchweek 10;Home;Antoine Semenyo;Burnley;Y;0.11;0.61;Left Foot;15;22;0-1;James Trafford;;Antoine Semenyo;Tackle;;;;In Game
Bournemouth;For;8;28/10/2023;Matchweek 10;Home;Philip Billing;Burnley;Y;0.02;0.16;Left Foot;42;76;01-janv;James Trafford;;;;;;;In Game
Bournemouth;Against;21;28/10/2023;Matchweek 10;Home;Charlie Taylor;Burnley;Y;0.01;0.08;Left Foot;27;11;0-0;Ionuț Radu;Dara O'Shea;Dara O'Shea;Pass (Live);Charlie Taylor;Shot;Volley;In Game
Brentford;For;15;28/10/2023;Matchweek 10;Away;Ethan Pinnock;Chelsea;Y;0.19;0.37;Head;4;58;0-0;Robert Sánchez;Bryan Mbeumo;Bryan Mbeumo;Pass (Live);Mathias Jensen;Pass (Live);;In Game
Brentford;For;16;28/10/2023;Matchweek 10;Away;Bryan Mbeumo;Chelsea;Y;0.83;0.23;Left Foot;17;90+6;1-0;Robert Sánchez;Neal Maupay;Neal Maupay;Pass (Live);;;;In Game
Brighton;For;23;29/10/2023;Matchweek 10;Home;Evan Ferguson;Fulham;Y;0.16;0.35;Left Foot;21;26;0-0;Bernd Leno;Pascal Groß;Pascal Groß;Pass (Live);Igor;Pass (Live);;In Game
Brighton;Against;19;29/10/2023;Matchweek 10;Home;João Palhinha;Fulham;Y;0.13;0.39;Right Foot;21;65;0-1;Jason Steele;Harry Wilson;Harry Wilson;Pass (Live);Alex Iwobi;Pass (Live);;In Game
Burnley;For;8;28/10/2023;Matchweek 10;Away;Charlie Taylor;Bournemouth;Y;0.01;0.08;Left Foot;27;11;0-0;Ionuț Radu;Dara O'Shea;Dara O'Shea;Pass (Live);Charlie Taylor;Shot;Volley;In Game
Burnley;Against;24;28/10/2023;Matchweek 10;Away;Antoine Semenyo;Bournemouth;Y;0.11;0.61;Left Foot;15;22;0-1;James Trafford;;Antoine Semenyo;Tackle;;;;In Game
Burnley;Against;25;28/10/2023;Matchweek 10;Away;Philip Billing;Bournemouth;Y;0.02;0.16;Left Foot;42;76;01-janv;James Trafford;;;;;;;In Game
Chelsea;Against;10;28/10/2023;Matchweek 10;Home;Ethan Pinnock;Brentford;Y;0.19;0.37;Head;4;58;0-0;Robert Sánchez;Bryan Mbeumo;Bryan Mbeumo;Pass (Live);Mathias Jensen;Pass (Live);;In Game
Chelsea;Against;11;28/10/2023;Matchweek 10;Home;Bryan Mbeumo;Brentford;Y;0.83;0.23;Left Foot;17;90+6;1-0;Robert Sánchez;Neal Maupay;Neal Maupay;Pass (Live);;;;In Game
Crystal Palace;For;8;27/10/2023;Matchweek 10;Home;Jordan Ayew;Tottenham;Y;0.06;0.07;Right Foot;16;90+4;0-2;Guglielmo Vicario;Joachim Andersen;Joachim Andersen;Pass (Live);Joel Ward;Pass (Touch);Volley;In Game
Crystal Palace;Against;12;27/10/2023;Matchweek 10;Home;Joel Ward (OG);Tottenham;Y*;;;;;53;0-0;Sam Johnstone;;;;;;Own Goal;In Game
Crystal Palace;Against;13;27/10/2023;Matchweek 10;Home;Son Heung-min;Tottenham;Y*;0.72;0.78;Left Foot;8;66;1-0;Sam Johnstone;Brennan Johnson;Brennan Johnson;Pass (Live);Brennan Johnson;Pass (Live);;In Game
Everton;For;10;29/10/2023;Matchweek 10;Away;Dominic Calvert-Lewin;West Ham;Y;0.21;0.41;Right Foot;17;51;0-0;Alphonse Areola;Jack Harrison;Jack Harrison;Pass (Live);Dominic Calvert-Lewin;Pass (Live);;In Game
Fulham;For;9;29/10/2023;Matchweek 10;Away;João Palhinha;Brighton;Y;0.13;0.39;Right Foot;21;65;0-1;Jason Steele;Harry Wilson;Harry Wilson;Pass (Live);Alex Iwobi;Pass (Live);;In Game
Fulham;Against;16;29/10/2023;Matchweek 10;Away;Evan Ferguson;Brighton;Y;0.16;0.35;Left Foot;21;26;0-0;Bernd Leno;Pascal Groß;Pascal Groß;Pass (Live);Igor;Pass (Live);;In Game
Liverpool;For;21;29/10/2023;Matchweek 10;Home;Diogo Jota;Nott'ham Forest;Y;0.74;0.86;Right Foot;9;31;0-0;Matt Turner;;Darwin Núñez;Shot;;;;In Game
Liverpool;For;22;29/10/2023;Matchweek 10;Home;Darwin Núñez;Nott'ham Forest;Y;0.84;0.96;Left Foot;3;35;1-0;Matt Turner;Dominik Szoboszlai;Dominik Szoboszlai;Pass (Live);Mohamed Salah;Pass (Live);;In Game
Liverpool;For;23;29/10/2023;Matchweek 10;Home;Mohamed Salah;Nott'ham Forest;Y;0.73;0.09;Right Foot;25;77;2-0;Matt Turner;Dominik Szoboszlai;Dominik Szoboszlai;Pass (Live);;;;In Game
Luton Town;For;9;29/10/2023;Matchweek 10;Away;Emiliano Martínez (OG);Aston Villa;Y;;;;;83;0-3;Emiliano Martínez;;;;;;Own Goal;In Game
Luton Town;Against;18;29/10/2023;Matchweek 10;Away;John McGinn;Aston Villa;Y*;0.06;0.33;Right Foot;12;17;0-0;Thomas Kaminski;Douglas Luiz;John McGinn;Take-On;Douglas Luiz;Pass (Dead);;Set Piece
Luton Town;Against;19;29/10/2023;Matchweek 10;Away;Moussa Diaby;Aston Villa;Y;0.28;0.66;Left Foot;11;49;1-0;Thomas Kaminski;Leon Bailey;Lucas Digne;Pass (Live);John McGinn;Pass (Live);;In Game
Luton Town;Against;20;29/10/2023;Matchweek 10;Away;Tom Lockyer (OG);Aston Villa;Y*;;;;;62;2-0;Thomas Kaminski;;;;;;Own Goal;In Game
Manchester City;For;20;29/10/2023;Matchweek 10;Away;Erling Haaland;Manchester Utd;Y;0.79;0.99;Left Foot;13;26;0-0;André Onana;;Rodri;Fouled;Phil Foden;Fouled;;Penalty Kick
Manchester City;For;21;29/10/2023;Matchweek 10;Away;Erling Haaland;Manchester Utd;Y;0.29;0.33;Head;5;49;1-0;André Onana;Bernardo Silva;Bernardo Silva;Pass (Live);Jack Grealish;Pass (Live);;In Game
Manchester City;For;22;29/10/2023;Matchweek 10;Away;Phil Foden;Manchester Utd;Y;0.97;0.91;Left Foot;2;80;2-0;André Onana;Erling Haaland;Erling Haaland;Pass (Live);Rodri;Shot;;In Game
Manchester Utd;Against;14;29/10/2023;Matchweek 10;Home;Erling Haaland;Manchester City;Y;0.79;0.99;Left Foot;13;26;0-0;André Onana;;Rodri;Fouled;Phil Foden;Fouled;;Penalty Kick
Manchester Utd;Against;15;29/10/2023;Matchweek 10;Home;Erling Haaland;Manchester City;Y;0.29;0.33;Head;5;49;1-0;André Onana;Bernardo Silva;Bernardo Silva;Pass (Live);Jack Grealish;Pass (Live);;In Game
Manchester Utd;Against;16;29/10/2023;Matchweek 10;Home;Phil Foden;Manchester City;Y;0.97;0.91;Left Foot;2;80;2-0;André Onana;Erling Haaland;Erling Haaland;Pass (Live);Rodri;Shot;;In Game
Newcastle Utd;For;25;28/10/2023;Matchweek 10;Away;Callum Wilson;Wolves;Y;0.61;0.91;Right Foot;6;22;0-0;José Sá;;Callum Wilson;Shot;;;Volley;In Game
Newcastle Utd;For;26;28/10/2023;Matchweek 10;Away;Callum Wilson;Wolves;Y;0.79;0.89;Right Foot;13;45+4;01-janv;José Sá;;Fabian Schär;Fouled;Fabian Schär;Tackle;;Penalty Kick
Newcastle Utd;Against;10;28/10/2023;Matchweek 10;Away;Mario Lemina;Wolves;Y;0.07;0.12;Head;9;36;0-1;Nick Pope;Pedro Neto;Pedro Neto;Pass (Dead);Pedro Neto;Shot;;Set Piece
Newcastle Utd;Against;11;28/10/2023;Matchweek 10;Away;Hwang Hee-chan;Wolves;Y;0.43;0.44;Left Foot;8;71;01-févr;Nick Pope;Toti Gomes;Hwang Hee-chan;Take-On;Toti Gomes;Pass (Live);;In Game
Nott'ham Forest;Against;13;29/10/2023;Matchweek 10;Away;Diogo Jota;Liverpool;Y;0.74;0.86;Right Foot;9;31;0-0;Matt Turner;;Darwin Núñez;Shot;;;;In Game
Nott'ham Forest;Against;14;29/10/2023;Matchweek 10;Away;Darwin Núñez;Liverpool;Y;0.84;0.96;Left Foot;3;35;1-0;Matt Turner;Dominik Szoboszlai;Dominik Szoboszlai;Pass (Live);Mohamed Salah;Pass (Live);;In Game
Nott'ham Forest;Against;15;29/10/2023;Matchweek 10;Away;Mohamed Salah;Liverpool;Y;0.73;0.09;Right Foot;25;77;2-0;Matt Turner;Dominik Szoboszlai;Dominik Szoboszlai;Pass (Live);;;;In Game
Sheffield Utd;Against;25;28/10/2023;Matchweek 10;Away;Eddie Nketiah;Arsenal;Y;0.75;0.96;Right Foot;9;28;0-0;Wes Foderingham;Declan Rice;Eddie Nketiah;Take-On;Bukayo Saka;Pass (Live);;In Game
Sheffield Utd;Against;26;28/10/2023;Matchweek 10;Away;Eddie Nketiah;Arsenal;Y;0.12;0.75;Right Foot;6;50;1-0;Wes Foderingham;;Bukayo Saka;Pass (Dead);Eddie Nketiah;Fouled;Volley;Set Piece
Sheffield Utd;Against;27;28/10/2023;Matchweek 10;Away;Eddie Nketiah;Arsenal;Y;0.04;0.34;Right Foot;26;58;2-0;Wes Foderingham;Emile Smith Rowe;Emile Smith Rowe;Pass (Live);Gabriel Martinelli;Pass (Live);;In Game
Sheffield Utd;Against;28;28/10/2023;Matchweek 10;Away;Fabio Vieira;Arsenal;N;0.79;0.95;Left Foot;13;88;3-0;Wes Foderingham;;Fabio Vieira;Fouled;;;;Penalty Kick
Sheffield Utd;Against;29;28/10/2023;Matchweek 10;Away;Takehiro Tomiyasu;Arsenal;N;0.17;0.60;Right Foot;8;90+6;4-0;Wes Foderingham;;Fabio Vieira;Pass (Dead);Eddie Nketiah;Shot;;Set Piece
Tottenham;For;21;27/10/2023;Matchweek 10;Away;Joel Ward (OG);Crystal Palace;Y*;;;;;53;0-0;Sam Johnstone;;;;;;Own Goal;In Game
Tottenham;For;22;27/10/2023;Matchweek 10;Away;Son Heung-min;Crystal Palace;Y*;0.72;0.78;Left Foot;8;66;1-0;Sam Johnstone;Brennan Johnson;Brennan Johnson;Pass (Live);Brennan Johnson;Pass (Live);;In Game
Tottenham;Against;9;27/10/2023;Matchweek 10;Away;Jordan Ayew;Crystal Palace;Y;0.06;0.07;Right Foot;16;90+4;0-2;Guglielmo Vicario;Joachim Andersen;Joachim Andersen;Pass (Live);Joel Ward;Pass (Touch);Volley;In Game
West Ham;Against;17;29/10/2023;Matchweek 10;Home;Dominic Calvert-Lewin;Everton;Y;0.21;0.41;Right Foot;17;51;0-0;Alphonse Areola;Jack Harrison;Jack Harrison;Pass (Live);Dominic Calvert-Lewin;Pass (Live);;In Game
Wolves;For;12;28/10/2023;Matchweek 10;Home;Mario Lemina;Newcastle Utd;Y;0.07;0.12;Head;9;36;0-1;Nick Pope;Pedro Neto;Pedro Neto;Pass (Dead);Pedro Neto;Shot;;Set Piece
Wolves;For;13;28/10/2023;Matchweek 10;Home;Hwang Hee-chan;Newcastle Utd;Y;0.43;0.44;Left Foot;8;71;01-févr;Nick Pope;Toti Gomes;Hwang Hee-chan;Take-On;Toti Gomes;Pass (Live);;In Game
Wolves;Against;16;28/10/2023;Matchweek 10;Home;Callum Wilson;Newcastle Utd;Y;0.61;0.91;Right Foot;6;22;0-0;José Sá;;Callum Wilson;Shot;;;Volley;In Game
Wolves;Against;17;28/10/2023;Matchweek 10;Home;Callum Wilson;Newcastle Utd;Y;0.79;0.89;Right Foot;13;45+4;01-janv;José Sá;;Fabian Schär;Fouled;Fabian Schär;Tackle;;Penalty Kick
Arsenal;Against;9;04/11/2023;Matchweek 11;Away;Anthony Gordon;Newcastle Utd;Y;0.68;0.94;Right Foot;3;64;0-0;David Raya;Joelinton;Joelinton;Shot;;;;In Game
Aston Villa;Against;15;05/11/2023;Matchweek 11;Away;Ola Aina;Nott'ham Forest;Y;0.05;0.43;Right Foot;24;5;0-0;Emiliano Martínez;Harry Toffolo;Harry Toffolo;Pass (Live);Anthony Elanga;Pass (Live);;In Game
Aston Villa;Against;16;05/11/2023;Matchweek 11;Away;Orel Mangala;Nott'ham Forest;Y;0.03;0.02;Right Foot;29;47;1-0;Emiliano Martínez;Harry Toffolo;Harry Toffolo;Pass (Live);Taiwo Awoniyi;Pass (Live);;In Game
