Team;Type;Rank;Date;Round;Venue;Scorer;Opponent;Start;xG;PSxG;Body Part;Distance;Minute;Score;Goalkeeper;Assist;GCA1;Type GCA1;GCA2;Type GCA2;Note;Motion
Brighton;For;26;25/11/2023;Matchweek 13;Away;Evan Ferguson;Nott'ham Forest;Y;0.09;0.44;Right Foot;17;26;0-1;Odisseas Vlachodimos;Pascal Groß;Pascal Groß;Pass (Live);Billy Gilmour;Pass (Live);;In Game
Brighton;For;27;25/11/2023;Matchweek 13;Away;João Pedro;Nott'ham Forest;N;0.03;0.30;Head;14;45+4;01-janv;Odisseas Vlachodimos;Pascal Groß;Pascal Groß;Pass (Live);Jan Paul van Hecke;Pass (Live);;In Game
Brighton;For;28;25/11/2023;Matchweek 13;Away;João Pedro;Nott'ham Forest;N;0.79;0.98;Right Foot;13;58;02-janv;Odisseas Vlachodimos;;João Pedro;Fouled;Lewis Dunk;Pass (Live);;Penalty Kick
Brighton;Against;22;25/11/2023;Matchweek 13;Away;Anthony Elanga;Nott'ham Forest;Y;0.08;0.35;Head;9;3;0-0;Bart Verbruggen;Morgan Gibbs-White;Morgan Gibbs-White;Pass (Live);Orel Mangala;Interception;;In Game
Brighton;Against;23;25/11/2023;Matchweek 13;Away;Morgan Gibbs-White;Nott'ham Forest;Y*;0.79;0.99;Right Foot;13;76;01-mars;Bart Verbruggen;;Callum Hudson-Odoi;Fouled;Harry Toffolo;Pass (Live);;Penalty Kick
Burnley;For;10;25/11/2023;Matchweek 13;Home;Jay Rodriguez;West Ham;Y;0.79;0.85;Right Foot;13;49;0-0;Alphonse Areola;;Luca Koleosho;Fouled;Luca Koleosho;Take-On;;Penalty Kick
Burnley;Against;31;25/11/2023;Matchweek 13;Home;Dara O'Shea (OG);West Ham;Y;;;;;86;0-1;James Trafford;;;;;;Own Goal;In Game
Burnley;Against;32;25/11/2023;Matchweek 13;Home;Tomáš Souček;West Ham;Y;0.42;0.48;Right Foot;4;90+1;01-janv;James Trafford;Kudus Mohammed;Kudus Mohammed;Pass (Live);James Ward-Prowse;Pass (Live);Volley;In Game
Chelsea;For;22;25/11/2023;Matchweek 13;Away;Raheem Sterling;Newcastle Utd;Y;0.11;0.55;Right Foot;24;23;0-1;Nick Pope;;Raheem Sterling;Fouled;Enzo Fernández;Pass (Live);Free Kick;Free Kick
Chelsea;Against;17;25/11/2023;Matchweek 13;Away;Alexander Isak;Newcastle Utd;Y;0.64;0.56;Right Foot;12;13;0-0;Robert Sánchez;Lewis Miley;Lewis Miley;Pass (Live);Anthony Gordon;Pass (Live);;In Game
Chelsea;Against;18;25/11/2023;Matchweek 13;Away;Jamaal Lascelles;Newcastle Utd;Y*;0.30;0.36;Head;9;60;01-janv;Robert Sánchez;Anthony Gordon;Anthony Gordon;Pass (Live);Joelinton;Pass (Live);;In Game
Chelsea;Against;19;25/11/2023;Matchweek 13;Away;Joelinton;Newcastle Utd;Y;0.54;0.80;Right Foot;11;61;02-janv;Robert Sánchez;;;;;;;In Game
Chelsea;Against;20;25/11/2023;Matchweek 13;Away;Anthony Gordon;Newcastle Utd;Y;0.10;0.42;Right Foot;12;83;03-janv;Robert Sánchez;Miguel Almirón;Miguel Almirón;Pass (Live);Valentino Livramento;Pass (Live);;In Game
Crystal Palace;For;13;25/11/2023;Matchweek 13;Away;Michael Olise;Luton Town;Y;0.05;0.64;Left Foot;18;74;0-1;Thomas Kaminski;Joel Ward;Michael Olise;Take-On;Joel Ward;Pass (Live);;In Game
Crystal Palace;Against;17;25/11/2023;Matchweek 13;Away;Teden Mengi;Luton Town;Y;0.13;0.56;Right Foot;7;72;0-0;Sam Johnstone;Carlton Morris;Carlton Morris;Shot;;;;In Game
Crystal Palace;Against;18;25/11/2023;Matchweek 13;Away;Jacob Brown;Luton Town;N;0.46;0.78;Right Foot;5;83;01-janv;Sam Johnstone;Chiedozie Ogbene;Chiedozie Ogbene;Pass (Live);Ross Barkley;Pass (Live);;In Game
Everton;Against;18;26/11/2023;Matchweek 13;Home;Alejandro Garnacho;Manchester Utd;Y;0.08;0.44;Right Foot;15;3;0-0;Jordan Pickford;Diogo Dalot;Diogo Dalot;Pass (Live);Marcus Rashford;Pass (Live);Volley;In Game
Everton;Against;19;26/11/2023;Matchweek 13;Home;Marcus Rashford;Manchester Utd;Y;0.79;0.99;Right Foot;13;56;1-0;Jordan Pickford;;Anthony Martial;Fouled;Bruno Fernandes;Pass (Live);;Penalty Kick
Everton;Against;20;26/11/2023;Matchweek 13;Home;Anthony Martial;Manchester Utd;Y;0.79;0.96;Right Foot;11;75;2-0;Jordan Pickford;Bruno Fernandes;Bruno Fernandes;Pass (Live);Facundo Pellistri;Pass (Live);;In Game
Fulham;For;11;27/11/2023;Matchweek 13;Home;Alex Iwobi;Wolves;Y;0.70;0.82;Left Foot;8;7;0-0;José Sá;Antonee Robinson;Antonee Robinson;Pass (Live);Willian;Pass (Live);;In Game
